solute,solvent,T_K,IDAC_exp,IDAC_MOSCED,ln_IDAC_exp
"1,1,1-Trichloroethane","1,2-Dichloroethane",328.2,1.34,1.28,0.29266961396282004
"1,1,1-Trichloroethane",1-Octanol,298.2,1.98,1.89,0.6830968447064438
"1,1,1-Trichloroethane",1-Octanol,298.2,1.89,1.89,0.636576829071551
"1,1,1-Trichloroethane",1-Octanol,298.2,1.98,1.89,0.6830968447064438
"1,1,1-Trichloroethane",1-Octanol,308.2,1.76,1.83,0.5653138090500605
"1,1,1-Trichloroethane",1-Octanol,323.2,1.63,1.76,0.4885800148186709
"1,1,1-Trichloroethane",Anisole,293.2,1.17,1.14,0.1570037488096647
"1,1,1-Trichloroethane",Butyl Ether,293.2,0.81,0.88,-0.21072103131565253
"1,1,1-Trichloroethane",Carbon Tetrachloride,328.2,1.09,1.06,0.08617769624105241
"1,1,1-Trichloroethane",Chloroform,328.2,1.0,0.96,0.0
"1,1,1-Trichloroethane",Dichloromethane,308.2,1.18,1.17,0.16551443847757333
"1,1,1-Trichloroethane",Dimethyl Carbonate,298.2,1.66,1.52,0.5068176023684519
"1,1,1-Trichloroethane",Dimethyl Carbonate,333.2,1.66,1.45,0.5068176023684519
"1,1,1-Trichloroethane",Methyl Isobutyl Ketone,293.2,0.87,0.93,-0.13926206733350766
"1,1,1-Trichloroethane",N-Hexadecane,298.2,1.04,1.08,0.03922071315328133
"1,1,1-Trichloroethane",Tetraethylene Glycol DME,303.2,0.72,0.78,-0.3285040669720361
"1,1,1-Trichloroethane",Tetraethylene Glycol DME,323.2,0.74,0.8,-0.3011050927839216
"1,1,1-Trichloroethane",Tetraethylene Glycol DME,343.5,0.79,0.81,-0.23572233352106983
"1,1,1-Trichloroethane",Tributyl Phosphate,298.2,0.5,0.48,-0.6931471805599453
"1,1,1-Trichloroethane",Tributyl Phosphate,303.2,0.5,0.48,-0.6931471805599453
"1,1,1-Trichloroethane",Tributyl Phosphate,308.2,0.51,0.49,-0.6733445532637656
"1,1,1-Trichloroethane",Tributyl Phosphate,313.2,0.51,0.5,-0.6733445532637656
"1,1,1-Trichloroethane",Tributyl Phosphate,318.2,0.51,0.5,-0.6733445532637656
"1,1,1-Trichloroethane",Tributyl Phosphate,323.2,0.51,0.51,-0.6733445532637656
"1,1,1-Trichloroethane",Trichloroethylene,328.2,1.02,0.99,0.01980262729617973
"1,1-Dichloroethane","1,1,1-Trichloroethane",328.2,1.06,1.28,0.058268908123975824
"1,1-Dichloroethane","1,2-Dichloroethane",328.2,1.14,1.01,0.131028262406404
"1,1-Dichloroethane",1-Octanol,298.2,2.01,2.04,0.6981347220709843
"1,1-Dichloroethane",1-Octanol,298.2,2.01,2.04,0.6981347220709843
"1,1-Dichloroethane",1-Octanol,308.2,2.01,1.96,0.6981347220709843
"1,1-Dichloroethane",1-Octanol,323.2,1.9,1.85,0.6418538861723947
"1,1-Dichloroethane",Carbon Tetrachloride,328.2,1.4,1.66,0.3364722366212129
"1,1-Dichloroethane",Chloroform,328.2,0.98,1.01,-0.020202707317519466
"1,1-Dichloroethane",Dichloromethane,308.2,1.02,0.98,0.01980262729617973
"1,1-Dichloroethane",Trichloroethylene,328.2,1.26,1.33,0.23111172096338664
"1,2-Dichloroethane","1,1,1-Trichloroethane",328.2,1.23,1.3,0.20701416938432612
"1,2-Dichloroethane",1-Butanol,293.2,2.92,3.31,1.0715836162801904
"1,2-Dichloroethane",1-Octanol,298.2,2.68,2.33,0.9858167945227654
"1,2-Dichloroethane",1-Octanol,298.2,2.41,2.33,0.8796267475025636
"1,2-Dichloroethane",1-Octanol,298.2,2.68,2.33,0.9858167945227654
"1,2-Dichloroethane",1-Octanol,308.2,2.55,2.22,0.9360933591703348
"1,2-Dichloroethane",1-Octanol,323.2,2.31,2.07,0.8372475245337022
"1,2-Dichloroethane",Acetone,329.4,0.98,0.91,-0.020202707317519466
"1,2-Dichloroethane",Acetonitrile,333.2,1.52,1.64,0.41871033485818504
"1,2-Dichloroethane",Anisole,293.2,0.94,0.88,-0.06187540371808753
"1,2-Dichloroethane",Benzene,298.2,1.04,1.09,0.03922071315328133
"1,2-Dichloroethane",Benzene,353.3,1.03,1.07,0.02955880224154443
"1,2-Dichloroethane",Benzyl Acetate,298.2,0.71,0.75,-0.342490308946776
"1,2-Dichloroethane",Butyl Ether,293.2,1.17,1.3,0.1570037488096647
"1,2-Dichloroethane",Carbon Tetrachloride,313.2,1.73,1.8,0.5481214085096876
"1,2-Dichloroethane",Carbon Tetrachloride,328.2,1.65,1.72,0.5007752879124892
"1,2-Dichloroethane",Chloroform,328.2,1.05,1.02,0.04879016416943205
"1,2-Dichloroethane",Cyclohexane,298.2,3.32,3.59,1.199964782928397
"1,2-Dichloroethane",Cyclohexane,334.2,2.52,2.79,0.9242589015233319
"1,2-Dichloroethane",Cyclohexane,340.4,2.44,2.69,0.8919980393051105
"1,2-Dichloroethane",Cyclohexane,345.7,2.36,2.62,0.8586616190375187
"1,2-Dichloroethane",Cyclohexane,351.2,2.29,2.54,0.8285518175661483
"1,2-Dichloroethane",Dichloromethane,308.2,0.99,0.98,-0.01005033585350145
"1,2-Dichloroethane",Ethyl Acetate,311.7,0.81,0.83,-0.21072103131565253
"1,2-Dichloroethane",Ethyl Acetate,330.5,0.83,0.86,-0.18632957819149348
"1,2-Dichloroethane",Ethyl Acetate,347.8,0.85,0.88,-0.16251892949777494
"1,2-Dichloroethane",Methanol,323.2,4.95,6.18,1.599387576580599
"1,2-Dichloroethane",Methyl Ethyl Ketone,314.7,0.77,0.74,-0.2613647641344075
"1,2-Dichloroethane",Methyl Ethyl Ketone,333.2,0.74,0.77,-0.3011050927839216
"1,2-Dichloroethane",Methyl Ethyl Ketone,333.3,0.79,0.77,-0.23572233352106983
"1,2-Dichloroethane",Methyl Ethyl Ketone,350.3,0.82,0.8,-0.19845093872383832
"1,2-Dichloroethane",Methyl Isobutyl Ketone,293.2,0.69,0.77,-0.37106368139083207
"1,2-Dichloroethane","N,N-Dibutylformamide",302.8,0.51,0.44,-0.6733445532637656
"1,2-Dichloroethane","N,N-Dibutylformamide",318.3,0.51,0.48,-0.6733445532637656
"1,2-Dichloroethane","N,N-Dibutylformamide",332.4,0.52,0.5,-0.6539264674066639
"1,2-Dichloroethane","N,N-Dimethylacetamide",303.6,0.54,0.48,-0.616186139423817
"1,2-Dichloroethane","N,N-Dimethylacetamide",317.6,0.63,0.52,-0.4620354595965587
"1,2-Dichloroethane","N,N-Dimethylacetamide",333.4,0.75,0.56,-0.2876820724517809
"1,2-Dichloroethane",heptane,293.2,3.3,3.67,1.1939224684724346
"1,2-Dichloroethane",N-Hexadecane,298.2,2.34,2.4,0.85015092936961
"1,2-Dichloroethane",N-Hexadecane,298.2,2.03,2.4,0.7080357930536959
"1,2-Dichloroethane",N-Hexane,298.0,3.17,3.76,1.1537315878891892
"1,2-Dichloroethane",N-Hexane,298.2,3.61,3.75,1.2837077723447896
"1,2-Dichloroethane",N-Hexane,316.0,2.73,3.26,1.0043016091968684
"1,2-Dichloroethane",N-Hexane,333.2,2.45,2.91,0.8960880245566357
"1,2-Dichloroethane",N-Hexane,339.4,2.32,2.8,0.8415671856782185
"1,2-Dichloroethane",Nitrobenzene,293.2,1.09,0.96,0.08617769624105241
