Tc_solute,Pc_solute,Vc_solute,omega_solute,dipole_solute,MW_solute,Tc_solvent,Pc_solvent,Vc_solvent,omega_solvent,dipole_solvent,MW_solvent,T_K,ln_IDAC_exp
550,4300000,0.000268,0.216,1.78,133.40422,561.6,5226120,0.000230947,0.268,2.94,98.95916,328.2,0.292669614
550,4300000,0.000268,0.216,1.78,133.40422,652.5,2777000,0.000497,0.5963,1.649998201,130.22792,298.2,0.683096845
550,4300000,0.000268,0.216,1.78,133.40422,652.5,2777000,0.000497,0.5963,1.649998201,130.22792,298.2,0.636576829
550,4300000,0.000268,0.216,1.78,133.40422,652.5,2777000,0.000497,0.5963,1.649998201,130.22792,298.2,0.683096845
550,4300000,0.000268,0.216,1.78,133.40422,652.5,2777000,0.000497,0.5963,1.649998201,130.22792,308.2,0.565313809
550,4300000,0.000268,0.216,1.78,133.40422,652.5,2777000,0.000497,0.5963,1.649998201,130.22792,323.2,0.488580015
550,4300000,0.000268,0.216,1.78,133.40422,646.5,4240000,0.000341,0.3288,1.26,108.13782,293.2,0.157003749
550,4300000,0.000268,0.216,1.78,133.40422,584,3000000,0.000521,0.5,0,130.22792,293.2,-0.210721031
550,4300000,0.000268,0.216,1.78,133.40422,556.3,4540000,0.000276,0.194,0,153.8227,328.2,0.086177696
550,4300000,0.000268,0.216,1.78,133.40422,536.2,5330000,0.000244,0.216,1.01,119.37764,328.2,0
550,4300000,0.000268,0.216,1.78,133.40422,508,6350000,0.000177,0.2027,1.6,84.93258,308.2,0.165514438
550,4300000,0.000268,0.216,1.78,133.40422,557,4908800,0.00025,0.346,0,90.07794,298.2,0.506817602
550,4300000,0.000268,0.216,1.78,133.40422,557,4908800,0.00025,0.346,0,90.07794,333.2,0.506817602
550,4300000,0.000268,0.216,1.78,133.40422,574.6,3270000,0.000378,0.4,2.8,100.15888,293.2,-0.139262067
550,4300000,0.000268,0.216,1.78,133.40422,722.1,1479850,0.001,0.749,0,226.448,298.2,0.039220713
550,4300000,0.000268,0.216,1.78,133.40422,705,1940000,0.000674,0.965,0,222.27868,303.2,-0.328504067
550,4300000,0.000268,0.216,1.78,133.40422,705,1940000,0.000674,0.965,0,222.27868,323.2,-0.301105093
550,4300000,0.000268,0.216,1.78,133.40422,705,1940000,0.000674,0.965,0,222.27868,343.5,-0.235722334
550,4300000,0.000268,0.216,1.78,133.40422,716.7,1523000,0.000927,0.83474986,0,266.314142,298.2,-0.693147181
550,4300000,0.000268,0.216,1.78,133.40422,716.7,1523000,0.000927,0.83474986,0,266.314142,303.2,-0.693147181
550,4300000,0.000268,0.216,1.78,133.40422,716.7,1523000,0.000927,0.83474986,0,266.314142,308.2,-0.673344553
550,4300000,0.000268,0.216,1.78,133.40422,716.7,1523000,0.000927,0.83474986,0,266.314142,313.2,-0.673344553
550,4300000,0.000268,0.216,1.78,133.40422,716.7,1523000,0.000927,0.83474986,0,266.314142,318.2,-0.673344553
550,4300000,0.000268,0.216,1.78,133.40422,716.7,1523000,0.000927,0.83474986,0,266.314142,323.2,-0.673344553
550,4300000,0.000268,0.216,1.78,133.40422,571,4914263,0.000256,0.213,0.77,131.38834,328.2,0.019802627
523.4,5060000,0.000236,0.248,2.06,98.95916,550,4300000,0.000268,0.216,1.78,133.40422,328.2,0.058268908
523.4,5060000,0.000236,0.248,2.06,98.95916,561.6,5226120,0.000230947,0.268,2.94,98.95916,328.2,0.131028262
523.4,5060000,0.000236,0.248,2.06,98.95916,652.5,2777000,0.000497,0.5963,1.649998201,130.22792,298.2,0.698134722
523.4,5060000,0.000236,0.248,2.06,98.95916,652.5,2777000,0.000497,0.5963,1.649998201,130.22792,298.2,0.698134722
523.4,5060000,0.000236,0.248,2.06,98.95916,652.5,2777000,0.000497,0.5963,1.649998201,130.22792,308.2,0.698134722
523.4,5060000,0.000236,0.248,2.06,98.95916,652.5,2777000,0.000497,0.5963,1.649998201,130.22792,323.2,0.641853886
523.4,5060000,0.000236,0.248,2.06,98.95916,556.3,4540000,0.000276,0.194,0,153.8227,328.2,0.336472237
523.4,5060000,0.000236,0.248,2.06,98.95916,536.2,5330000,0.000244,0.216,1.01,119.37764,328.2,-0.020202707
523.4,5060000,0.000236,0.248,2.06,98.95916,508,6350000,0.000177,0.2027,1.6,84.93258,308.2,0.019802627
523.4,5060000,0.000236,0.248,2.06,98.95916,571,4914263,0.000256,0.213,0.77,131.38834,328.2,0.231111721
561.6,5226120,0.000230947,0.268,2.94,98.95916,550,4300000,0.000268,0.216,1.78,133.40422,328.2,0.207014169
561.6,5226120,0.000230947,0.268,2.94,98.95916,563,4414000,0.000274,0.59,1.66,74.1216,293.2,1.071583616
561.6,5226120,0.000230947,0.268,2.94,98.95916,652.5,2777000,0.000497,0.5963,1.649998201,130.22792,298.2,0.985816795
561.6,5226120,0.000230947,0.268,2.94,98.95916,652.5,2777000,0.000497,0.5963,1.649998201,130.22792,298.2,0.879626748
561.6,5226120,0.000230947,0.268,2.94,98.95916,652.5,2777000,0.000497,0.5963,1.649998201,130.22792,298.2,0.985816795
561.6,5226120,0.000230947,0.268,2.94,98.95916,652.5,2777000,0.000497,0.5963,1.649998201,130.22792,308.2,0.936093359
561.6,5226120,0.000230947,0.268,2.94,98.95916,652.5,2777000,0.000497,0.5963,1.649998201,130.22792,323.2,0.837247525
561.6,5226120,0.000230947,0.268,2.94,98.95916,508.1,4692400,0.000212766,0.3071,2.88,58.07914,329.4,-0.020202707
561.6,5226120,0.000230947,0.268,2.94,98.95916,545.5,4850000,0.000171,0.321,3.92,41.05192,333.2,0.418710335
561.6,5226120,0.000230947,0.268,2.94,98.95916,646.5,4240000,0.000341,0.3288,1.26,108.13782,293.2,-0.061875404
561.6,5226120,0.000230947,0.268,2.94,98.95916,562.02,4907277,0.000256345,0.211,0,78.11184,298.2,0.039220713
561.6,5226120,0.000230947,0.268,2.94,98.95916,562.02,4907277,0.000256345,0.211,0,78.11184,353.3,0.029558802
561.6,5226120,0.000230947,0.268,2.94,98.95916,699,3180000,0.000449,0.473,0,150.1745,298.2,-0.342490309
561.6,5226120,0.000230947,0.268,2.94,98.95916,584,3000000,0.000521,0.5,0,130.22792,293.2,0.157003749
561.6,5226120,0.000230947,0.268,2.94,98.95916,556.3,4540000,0.000276,0.194,0,153.8227,313.2,0.548121409
561.6,5226120,0.000230947,0.268,2.94,98.95916,556.3,4540000,0.000276,0.194,0,153.8227,328.2,0.500775288
561.6,5226120,0.000230947,0.268,2.94,98.95916,536.2,5330000,0.000244,0.216,1.01,119.37764,328.2,0.048790164
561.6,5226120,0.000230947,0.268,2.94,98.95916,553.6,4080500,0.000310174,0.2096,0.61,84.15948,298.2,1.199964783
561.6,5226120,0.000230947,0.268,2.94,98.95916,553.6,4080500,0.000310174,0.2096,0.61,84.15948,334.2,0.924258902
561.6,5226120,0.000230947,0.268,2.94,98.95916,553.6,4080500,0.000310174,0.2096,0.61,84.15948,340.4,0.891998039
561.6,5226120,0.000230947,0.268,2.94,98.95916,553.6,4080500,0.000310174,0.2096,0.61,84.15948,345.7,0.858661619
561.6,5226120,0.000230947,0.268,2.94,98.95916,553.6,4080500,0.000310174,0.2096,0.61,84.15948,351.2,0.828551818
561.6,5226120,0.000230947,0.268,2.94,98.95916,508,6350000,0.000177,0.2027,1.6,84.93258,308.2,-0.010050336
561.6,5226120,0.000230947,0.268,2.94,98.95916,523.3,3870000,0.000286,0.363,1.78,88.10512,311.7,-0.210721031
561.6,5226120,0.000230947,0.268,2.94,98.95916,523.3,3870000,0.000286,0.363,1.78,88.10512,330.5,-0.186329578
561.6,5226120,0.000230947,0.268,2.94,98.95916,523.3,3870000,0.000286,0.363,1.78,88.10512,347.8,-0.162518929
561.6,5226120,0.000230947,0.268,2.94,98.95916,513.38,8215850,0.000113828,0.5625,1.7,32.04186,323.2,1.599387577
561.6,5226120,0.000230947,0.268,2.94,98.95916,536.7,4207000,0.000267,0.329,2.78,72.10572,314.7,-0.261364764
561.6,5226120,0.000230947,0.268,2.94,98.95916,536.7,4207000,0.000267,0.329,2.78,72.10572,333.2,-0.301105093
561.6,5226120,0.000230947,0.268,2.94,98.95916,536.7,4207000,0.000267,0.329,2.78,72.10572,333.3,-0.235722334
561.6,5226120,0.000230947,0.268,2.94,98.95916,536.7,4207000,0.000267,0.329,2.78,72.10572,350.3,-0.198450939
561.6,5226120,0.000230947,0.268,2.94,98.95916,574.6,3270000,0.000378,0.4,2.8,100.15888,293.2,-0.371063681
561.6,5226120,0.000230947,0.268,2.94,98.95916,634.89771,2475186.3,0.0005745,0.64936052,0,157.25326,302.8,-0.673344553
561.6,5226120,0.000230947,0.268,2.94,98.95916,634.89771,2475186.3,0.0005745,0.64936052,0,157.25326,318.3,-0.673344553
561.6,5226120,0.000230947,0.268,2.94,98.95916,634.89771,2475186.3,0.0005745,0.64936052,0,157.25326,332.4,-0.653926467
561.6,5226120,0.000230947,0.268,2.94,98.95916,643,4499843,0.000285,0.377,0,87.12036,303.6,-0.616186139
561.6,5226120,0.000230947,0.268,2.94,98.95916,643,4499843,0.000285,0.377,0,87.12036,317.6,-0.46203546
561.6,5226120,0.000230947,0.268,2.94,98.95916,643,4499843,0.000285,0.377,0,87.12036,333.4,-0.287682072
561.6,5226120,0.000230947,0.268,2.94,98.95916,540.2,2735730,0.000429185,0.349,0,100.205,293.2,1.193922468
561.6,5226120,0.000230947,0.268,2.94,98.95916,722.1,1479850,0.001,0.749,0,226.448,298.2,0.850150929
561.6,5226120,0.000230947,0.268,2.94,98.95916,722.1,1479850,0.001,0.749,0,226.448,298.2,0.708035793
561.6,5226120,0.000230947,0.268,2.94,98.95916,507.82,3044100,0.000369549,0.3,0,86.178,298,1.153731588
561.6,5226120,0.000230947,0.268,2.94,98.95916,507.82,3044100,0.000369549,0.3,0,86.178,298.2,1.283707772
561.6,5226120,0.000230947,0.268,2.94,98.95916,507.82,3044100,0.000369549,0.3,0,86.178,316,1.004301609
561.6,5226120,0.000230947,0.268,2.94,98.95916,507.82,3044100,0.000369549,0.3,0,86.178,333.2,0.896088025
561.6,5226120,0.000230947,0.268,2.94,98.95916,507.82,3044100,0.000369549,0.3,0,86.178,339.4,0.841567186
561.6,5226120,0.000230947,0.268,2.94,98.95916,712,3495713,0.00034,0.394,4.22,123.1094,293.2,0.086177696
561.6,5226120,0.000230947,0.268,2.94,98.95916,707.4,5090000,0.00024,0.4651,0,73.09378,303.4,0.470003629
561.6,5226120,0.000230947,0.268,2.94,98.95916,707.4,5090000,0.00024,0.4651,0,73.09378,318.4,0.482426149
561.6,5226120,0.000230947,0.268,2.94,98.95916,707.4,5090000,0.00024,0.4651,0,73.09378,333.2,0.494696242
561.6,5226120,0.000230947,0.268,2.94,98.95916,568.74,2483590,0.000492368,0.398,0,114.232,293.2,1.064710737
561.6,5226120,0.000230947,0.268,2.94,98.95916,694.2,5930000,0.000283,0.44,1.22,94.11124,323.2,0.542324291
561.6,5226120,0.000230947,0.268,2.94,98.95916,694.2,5930000,0.000283,0.44,1.22,94.11124,328.2,0.879626748
561.6,5226120,0.000230947,0.268,2.94,98.95916,694.2,5930000,0.000283,0.44,1.22,94.11124,343.2,0.760805829
561.6,5226120,0.000230947,0.268,2.94,98.95916,694.2,5930000,0.000283,0.44,1.22,94.11124,358.2,0.708035793
561.6,5226120,0.000230947,0.268,2.94,98.95916,694.2,5930000,0.000283,0.44,1.22,94.11124,373.2,0.708035793
561.6,5226120,0.000230947,0.268,2.94,98.95916,782,4750000,0.000382,0.2389,2.3,129.15858,298.2,-0.083381609
561.6,5226120,0.000230947,0.268,2.94,98.95916,855,5029773,0.0003365,0.3463,0,120.17012,303.1,0.122217633
561.6,5226120,0.000230947,0.268,2.94,98.95916,855,5029773,0.0003365,0.3463,0,120.17012,317.9,0.157003749
561.6,5226120,0.000230947,0.268,2.94,98.95916,855,5029773,0.0003365,0.3463,0,120.17012,333.6,0.19062036
561.6,5226120,0.000230947,0.268,2.94,98.95916,705,1940000,0.000674,0.965,0,222.27868,303.2,-1.139434283
561.6,5226120,0.000230947,0.268,2.94,98.95916,705,1940000,0.000674,0.965,0,222.27868,323.2,-0.967584026
561.6,5226120,0.000230947,0.268,2.94,98.95916,705,1940000,0.000674,0.965,0,222.27868,343.2,-0.820980552
561.6,5226120,0.000230947,0.268,2.94,98.95916,540.5,5190000,0.000224,0.217,1.63,72.10572,303.2,-0.798507696
561.6,5226120,0.000230947,0.268,2.94,98.95916,540.5,5190000,0.000224,0.217,1.63,72.10572,323.2,-0.579818495
561.6,5226120,0.000230947,0.268,2.94,98.95916,540.5,5190000,0.000224,0.217,1.63,72.10572,343.2,-0.510825624
561.6,5226120,0.000230947,0.268,2.94,98.95916,591.75,4126300,0.000315557,0.2657,0.33,92.13842,342.7,-0.051293294
561.6,5226120,0.000230947,0.268,2.94,98.95916,591.75,4126300,0.000315557,0.2657,0.33,92.13842,380.9,-0.030459207
561.6,5226120,0.000230947,0.268,2.94,98.95916,716.7,1523000,0.000927,0.83474986,0,266.314142,298.2,-1.237874356
561.6,5226120,0.000230947,0.268,2.94,98.95916,716.7,1523000,0.000927,0.83474986,0,266.314142,303.2,-1.237874356
561.6,5226120,0.000230947,0.268,2.94,98.95916,716.7,1523000,0.000927,0.83474986,0,266.314142,308.2,-1.237874356
561.6,5226120,0.000230947,0.268,2.94,98.95916,716.7,1523000,0.000927,0.83474986,0,266.314142,313.2,-1.237874356
561.6,5226120,0.000230947,0.268,2.94,98.95916,716.7,1523000,0.000927,0.83474986,0,266.314142,318.2,-1.203972804
561.6,5226120,0.000230947,0.268,2.94,98.95916,716.7,1523000,0.000927,0.83474986,0,266.314142,323.2,-1.203972804
561.6,5226120,0.000230947,0.268,2.94,98.95916,571,4914263,0.000256,0.213,0.77,131.38834,328.2,0.350656872
561.6,5226120,0.000230947,0.268,2.94,98.95916,535.6,3030000,0.000389,0.329,0.9,101.19,323.5,0.364643114
561.6,5226120,0.000230947,0.268,2.94,98.95916,535.6,3030000,0.000389,0.329,0.9,101.19,348.7,0.336472237
561.6,5226120,0.000230947,0.268,2.94,98.95916,535.6,3030000,0.000389,0.329,0.9,101.19,359.3,0.300104592
588,5210000,0.000238,0.288,0,88.10512,563,4414000,0.000274,0.59,1.66,74.1216,298.2,0.88376754
588,5210000,0.000238,0.288,0,88.10512,652.5,2777000,0.000497,0.5963,1.649998201,130.22792,298.2,0.779324877
588,5210000,0.000238,0.288,0,88.10512,652.5,2777000,0.000497,0.5963,1.649998201,130.22792,298.2,0.732367894
588,5210000,0.000238,0.288,0,88.10512,544,2572000,0.000471698,0.303,0,114.22852,298.2,1.266947603
588,5210000,0.000238,0.288,0,88.10512,624,3850000,0.000357,0.3559,1.7,107.15306,298.2,0.019802627
588,5210000,0.000238,0.288,0,88.10512,506.2,3972000,0.000275,0.618,1.74,74.1216,298.2,0.494696242
588,5210000,0.000238,0.288,0,88.10512,590.7,5780000,0.000171,0.4218,1.7,60.05196,298.2,-0.820980552
588,5210000,0.000238,0.288,0,88.10512,508.1,4692400,0.000212766,0.3071,2.88,58.07914,298.2,0.254642218
588,5210000,0.000238,0.288,0,88.10512,508.1,4692400,0.000212766,0.3071,2.88,58.07914,298.3,0.300104592
588,5210000,0.000238,0.288,0,88.10512,508.1,4692400,0.000212766,0.3071,2.88,58.07914,308.2,0.329303747
588,5210000,0.000238,0.288,0,88.10512,508.1,4692400,0.000212766,0.3071,2.88,58.07914,318.4,0.3074847
588,5210000,0.000238,0.288,0,88.10512,508.1,4692400,0.000212766,0.3071,2.88,58.07914,328.4,0.31481074
588,5210000,0.000238,0.288,0,88.10512,545.5,4850000,0.000171,0.321,3.92,41.05192,298.2,0.31481074
588,5210000,0.000238,0.288,0,88.10512,545.5,4850000,0.000171,0.321,3.92,41.05192,313.2,0.371563556
588,5210000,0.000238,0.288,0,88.10512,709.6,4010000,0.000388,0.377,3.02,120.14852,298.2,-0.15082289
588,5210000,0.000238,0.288,0,88.10512,705,5630000,0.000291,0.382,1.53,93.12648,298.2,-0.967584026
588,5210000,0.000238,0.288,0,88.10512,646.5,4240000,0.000341,0.3288,1.26,108.13782,298.2,-0.139262067
588,5210000,0.000238,0.288,0,88.10512,562.02,4907277,0.000256345,0.211,0,78.11184,298.2,-0.030459207
588,5210000,0.000238,0.288,0,88.10512,700,4200000,0.000348,0.36,4.18,103.1213,298.2,-0.198450939
588,5210000,0.000238,0.288,0,88.10512,715,4300000,0.000333,0.3872,1.7,108.13782,298.2,-0.755022584
588,5210000,0.000238,0.288,0,88.10512,670,4519095,0.000324,0.249,1.7,157.0079,298.2,-0.010050336
588,5210000,0.000238,0.288,0,88.10512,504,5800000,0.000214,0.254,2.03,108.9651,298.2,0.277631737
588,5210000,0.000238,0.288,0,88.10512,584,3000000,0.000521,0.5,0,130.22792,298.2,0.727548607
588,5210000,0.000238,0.288,0,88.10512,585.4,3880000,0.000265,0.3325,4.07,69.10508,298.2,0.131028262
588,5210000,0.000238,0.288,0,88.10512,552,7903350,0.00016,0.115,0,76.1407,298.2,1.291983682
588,5210000,0.000238,0.288,0,88.10512,552,7903350,0.00016,0.115,0,76.1407,298.3,1.327075001
588,5210000,0.000238,0.288,0,88.10512,552,7903350,0.00016,0.115,0,76.1407,308.4,1.269760545
588,5210000,0.000238,0.288,0,88.10512,552,7903350,0.00016,0.115,0,76.1407,318.7,1.205970807
588,5210000,0.000238,0.288,0,88.10512,556.3,4540000,0.000276,0.194,0,153.8227,298.2,0.254642218
588,5210000,0.000238,0.288,0,88.10512,556.3,4540000,0.000276,0.194,0,153.8227,298.2,0.223143551
588,5210000,0.000238,0.288,0,88.10512,556.3,4540000,0.000276,0.194,0,153.8227,303.2,0.277631737
588,5210000,0.000238,0.288,0,88.10512,556.3,4540000,0.000276,0.194,0,153.8227,308.2,0.285178942
588,5210000,0.000238,0.288,0,88.10512,556.3,4540000,0.000276,0.194,0,153.8227,313.2,0.292669614
588,5210000,0.000238,0.288,0,88.10512,556.3,4540000,0.000276,0.194,0,153.8227,313.2,0.277631737
588,5210000,0.000238,0.288,0,88.10512,556.3,4540000,0.000276,0.194,0,153.8227,337.7,0.292669614
588,5210000,0.000238,0.288,0,88.10512,632.35,4520600,0.000308642,0.2532,1.69,112.5569,298.2,-0.061875404
588,5210000,0.000238,0.288,0,88.10512,536.2,5330000,0.000244,0.216,1.01,119.37764,298.2,-1.514127733
588,5210000,0.000238,0.288,0,88.10512,536.2,5330000,0.000244,0.216,1.01,119.37764,303.2,-1.660731207
588,5210000,0.000238,0.288,0,88.10512,536.2,5330000,0.000244,0.216,1.01,119.37764,323.2,-1.30933332
588,5210000,0.000238,0.288,0,88.10512,553.6,4080500,0.000310174,0.2096,0.61,84.15948,298.2,1.427916036
588,5210000,0.000238,0.288,0,88.10512,665,4600000,0.000354,0.1837,3.02,98.143,298.2,0.039220713
588,5210000,0.000238,0.288,0,88.10512,508,6350000,0.000177,0.2027,1.6,84.93258,298.2,-0.867500568
588,5210000,0.000238,0.288,0,88.10512,508,6350000,0.000177,0.2027,1.6,84.93258,303.2,-0.891598119
588,5210000,0.000238,0.288,0,88.10512,466.7,3720200,0.000280764,0.29,1.15,74.1216,298.2,0.672944473
588,5210000,0.000238,0.288,0,88.10512,500.3,2832000,0.000386,0.34,1.130008034,102.17476,298.2,0.765467842
588,5210000,0.000238,0.288,0,88.10512,707,4600000,0.000213,0.3319,3.96,78.13344,298.2,0.488580015
588,5210000,0.000238,0.288,0,88.10512,514.71,6268000,0.000168634,0.646,1.44,46.06844,298.2,1.131402111
588,5210000,0.000238,0.288,0,88.10512,514.71,6268000,0.000168634,0.646,1.44,46.06844,323.2,1.043804052
588,5210000,0.000238,0.288,0,88.10512,514.71,6268000,0.000168634,0.646,1.44,46.06844,323.2,1.061256502
588,5210000,0.000238,0.288,0,88.10512,523.3,3870000,0.000286,0.363,1.78,88.10512,298.2,0.076961041
588,5210000,0.000238,0.288,0,88.10512,523.3,3870000,0.000286,0.363,1.78,88.10512,328.4,0.09531018
588,5210000,0.000238,0.288,0,88.10512,508.3,4764000,0.000222,0.665,1.58,60.09502,298.2,1.101940079
588,5210000,0.000238,0.288,0,88.10512,508.3,4764000,0.000222,0.665,1.58,60.09502,323.2,0.841567186
588,5210000,0.000238,0.288,0,88.10512,508.3,4764000,0.000222,0.665,1.58,60.09502,333.2,0.783901544
588,5210000,0.000238,0.288,0,88.10512,508.3,4764000,0.000222,0.665,1.58,60.09502,343.2,0.90016135
588,5210000,0.000238,0.288,0,88.10512,508.3,4764000,0.000222,0.665,1.58,60.09502,353.2,0.832909123
588,5210000,0.000238,0.288,0,88.10512,513.38,8215850,0.000113828,0.5625,1.7,32.04186,298.2,1.220829921
588,5210000,0.000238,0.288,0,88.10512,513.38,8215850,0.000113828,0.5625,1.7,32.04186,308.7,1.172482137
588,5210000,0.000238,0.288,0,88.10512,513.38,8215850,0.000113828,0.5625,1.7,32.04186,318.5,1.137833002
588,5210000,0.000238,0.288,0,88.10512,513.38,8215850,0.000113828,0.5625,1.7,32.04186,328.5,1.091923301
588,5210000,0.000238,0.288,0,88.10512,513.38,8215850,0.000113828,0.5625,1.7,32.04186,337,1.057790294
588,5210000,0.000238,0.288,0,88.10512,536.7,4207000,0.000267,0.329,2.78,72.10572,298.2,0.157003749
588,5210000,0.000238,0.288,0,88.10512,634.89771,2475186.3,0.0005745,0.64936052,0,157.25326,302.8,0.182321557
588,5210000,0.000238,0.288,0,88.10512,634.89771,2475186.3,0.0005745,0.64936052,0,157.25326,318.3,0.076961041
588,5210000,0.000238,0.288,0,88.10512,634.89771,2475186.3,0.0005745,0.64936052,0,157.25326,332.4,0.058268908
588,5210000,0.000238,0.288,0,88.10512,643,4499843,0.000285,0.377,0,87.12036,303.3,0.285178942
588,5210000,0.000238,0.288,0,88.10512,643,4499843,0.000285,0.377,0,87.12036,317.6,0.254642218
588,5210000,0.000238,0.288,0,88.10512,643,4499843,0.000285,0.377,0,87.12036,333.6,0.231111721
588,5210000,0.000238,0.288,0,88.10512,649.6,4400000,0.000262,0.389,3.82,73.09378,298.2,0.207014169
588,5210000,0.000238,0.288,0,88.10512,617.7,2103000,0.000609756,0.4884,0,142.286,298.2,1.147402453
588,5210000,0.000238,0.288,0,88.10512,540.2,2735730,0.000429185,0.349,0,100.205,298.2,1.483874689
588,5210000,0.000238,0.288,0,88.10512,540.2,2735730,0.000429185,0.349,0,100.205,298.2,1.337629189
588,5210000,0.000238,0.288,0,88.10512,540.2,2735730,0.000429185,0.349,0,100.205,303.2,1.427916036
588,5210000,0.000238,0.288,0,88.10512,540.2,2735730,0.000429185,0.349,0,100.205,308.2,1.355835154
588,5210000,0.000238,0.288,0,88.10512,540.2,2735730,0.000429185,0.349,0,100.205,313.2,1.305626458
588,5210000,0.000238,0.288,0,88.10512,540.2,2735730,0.000429185,0.349,0,100.205,313.4,1.278152203
588,5210000,0.000238,0.288,0,88.10512,540.2,2735730,0.000429185,0.349,0,100.205,333.2,1.166270937
588,5210000,0.000238,0.288,0,88.10512,540.2,2735730,0.000429185,0.349,0,100.205,353.2,1.01523068
588,5210000,0.000238,0.288,0,88.10512,540.2,2735730,0.000429185,0.349,0,100.205,353.2,0.966983846
588,5210000,0.000238,0.288,0,88.10512,722.1,1479850,0.001,0.749,0,226.448,298.2,1.022450928
588,5210000,0.000238,0.288,0,88.10512,722.1,1479850,0.001,0.749,0,226.448,298.2,0.88376754
588,5210000,0.000238,0.288,0,88.10512,507.82,3044100,0.000369549,0.3,0,86.178,298.2,1.393766376
588,5210000,0.000238,0.288,0,88.10512,507.82,3044100,0.000369549,0.3,0,86.178,353.2,1.128171091
588,5210000,0.000238,0.288,0,88.10512,712,3495713,0.00034,0.394,4.22,123.1094,298.2,-0.198450939
588,5210000,0.000238,0.288,0,88.10512,707.4,5090000,0.00024,0.4651,0,73.09378,303,0.91228271
588,5210000,0.000238,0.288,0,88.10512,707.4,5090000,0.00024,0.4651,0,73.09378,318.4,0.88376754
588,5210000,0.000238,0.288,0,88.10512,707.4,5090000,0.00024,0.4651,0,73.09378,333.3,0.832909123
588,5210000,0.000238,0.288,0,88.10512,568.74,2483590,0.000492368,0.398,0,114.232,353.2,0.947789399
588,5210000,0.000238,0.288,0,88.10512,469.7,3367500,0.000311526,0.251,0,72.151,298.2,1.560247668
