name,SMILES,CAS,Tc,Pc,Vc,omega,dipole,MW
"1,2-Dichloroethane",C(CCl)Cl,107-06-2,561.6,5226120,0.000230947,0.268,2.94,98.95916
1-Octanol,CCCCCCCCO,111-87-5,652.5,2777000,0.000497,0.5963,1.649998201,130.22792
Anisole,COC1=CC=CC=C1,100-66-3,646.5,4240000,0.000341,0.3288,1.26,108.13782
Butyl Ether,CCCCOCCCC,142-96-1,584,3000000,0.000521,0.5,0,130.22792
Carbon Tetrachloride,C(Cl)(Cl)(Cl)Cl,56-23-5,556.3,4540000,0.000276,0.194,0,153.8227
Chloroform,C(Cl)(Cl)Cl,67-66-3,536.2,5330000,0.000244,0.216,1.01,119.37764
Dichloromethane,C(Cl)Cl,75-09-2,508,6350000,0.000177,0.2027,1.6,84.93258
Dimethyl Carbonate,COC(=O)OC,616-38-6,557,4908800,0.00025,0.346,0,90.07794
Methyl Isobutyl Ketone,CC(C)CC(=O)C,108-10-1,574.6,3270000,0.000378,0.4,2.8,100.15888
N-Hexadecane,CCCCCCCCCCCCCCCC,544-76-3,722.1,1479850,0.001,0.749,0,226.448
Tetraethylene Glycol DME,COCCOCCOCCOCCOC,143-24-8,705,1940000,0.000674,0.965,0,222.27868
Tributyl Phosphate,CCCCOP(=O)(OCCCC)OCCCC,126-73-8,716.7,1523000,0.000927,0.83474986,0,266.314142
Trichloroethylene,C(=C(Cl)Cl)Cl,79-01-6,571,4914263,0.000256,0.213,0.77,131.38834
"1,1,1-Trichloroethane",CC(Cl)(Cl)Cl,71-55-6,550,4300000,0.000268,0.216,1.78,133.40422
1-Butanol,CCCCO,71-36-3,563,4414000,0.000274,0.59,1.66,74.1216
Acetone,CC(=O)C,67-64-1,508.1,4692400,0.000212766,0.3071,2.88,58.07914
Acetonitrile,CC#N,75-05-8,545.5,4850000,0.000171,0.321,3.92,41.05192
Benzene,C1=CC=CC=C1,71-43-2,562.02,4907277,0.000256345,0.211,0,78.11184
Benzyl Acetate,CC(=O)OCC1=CC=CC=C1,140-11-4,699,3180000,0.000449,0.473,0,150.1745
